Datetime,Text,Username
2022-11-11 01:56:54+00:00,On it. Keegan they love you. 👍🏻,jarpad
2022-11-11 01:52:36+00:00,Go Liam!!!!! @KeeganAllen,jarpad
2022-11-11 01:41:44+00:00,Well sometimes we do forget… sorry buddy. CC Adam,jarpad
2022-11-11 01:39:08+00:00,@rachel_cuffley Not a bear.,jarpad
2022-11-11 01:35:57+00:00,Shoutout to @KeeganAllen for rockin that scene. We love Liam. #Walker #WalkerIndependence,jarpad
2022-11-11 01:32:10+00:00,@samthepriority @MrJakeAbel Just the one time,jarpad
2022-11-11 01:28:00+00:00,They both look like @MrJakeAbel,jarpad
2022-11-11 01:23:16+00:00,@MrJakeAbel @DawnLasky A man can have his hobbies. #Walker #WalkerIndependence,jarpad
2022-11-11 01:14:45+00:00,@DawnLasky @MrJakeAbel We knew immediately #Walker #WalkerIndependence,jarpad
2022-11-11 01:13:15+00:00,"@MrJakeAbel Listen, Michael",jarpad
2022-11-11 01:11:56+00:00,@KelliNicodemus Her mother and I had a long talk and she is not allowed to grow up 😳,jarpad
2022-11-11 01:10:40+00:00,@abeautifulswan Inaccurate! Both Cordell and I love @KeeganAllen!,jarpad
2022-11-11 01:07:43+00:00,@trenchxdaddy You’re on it!! #Walker #WalkerIndependence,jarpad
2022-11-11 01:06:27+00:00,@BSBnSPNFan @MrJakeAbel @KeeganAllen Mine too 🤷😂,jarpad
2022-11-11 01:05:25+00:00,@ALundquist5 @thecwwalker @mollyhagan I’ll have a word with him! #Walker #WalkerIndependence,jarpad
2022-11-11 01:04:44+00:00,@hollyjwilson2 Never say never!! #Walker #WalkerIndependence,jarpad
2022-11-11 01:04:14+00:00,AMA FOR @MrJakeAbel - Who was your favorite costar in tonight’s episode and why was it me?? #Walker #WalkerIndependence,jarpad
2022-11-11 01:01:18+00:00,Here we go!! AMA and be sure to use #Walker #WalkerIndependence so I can find your questions! 🤠👊,jarpad
2022-11-11 00:38:16+00:00,20 min to #Walker! who’s in???,jarpad
2022-11-10 20:19:08+00:00,"I know this guy from somewhere, but can't put my finger on it... hmmmmmm",jarpad
2022-11-10 20:18:04+00:00,"Sorry, wardrobe budget issues. Please tune in tonight anyway for #WalkerIndependence",jarpad
2022-11-10 20:15:25+00:00,"We clean up pretty well! 
Who's watching tonight with us!???!",jarpad
2022-11-09 19:21:56+00:00,Hardly ABEL to contain my excitement 👊,jarpad
2022-11-09 17:41:35+00:00,Don’t forget to catch up before @MrJakeAbel’s season debut tmr night!!!!! 🤠,jarpad
2022-11-09 17:28:21+00:00,@Lauren2926 We know!,jarpad
2022-11-09 17:26:22+00:00,@flybaby34 We’ve reached out to our con partners 🤞,jarpad
2022-11-09 17:23:06+00:00,Wanted to thank y’all for coming out this weekend. A lot of new faces!! The #WalkerFamily had a great time meeting everyone.,jarpad
